1: href='https://witanime.you' | text=''
3: href='https://witanime.you/' | text='الرئيسية'
4: href='https://witanime.you/%d9%82%d8%a7%d8%a6%d9%85%d8%a9-%d8%a7%d9%84%d8%a7%d9%86%d9%85%d9%8a/' | text='قائمة الأنمي'
5: href='https://witanime.you/anime-type/movie/' | text='أفلام الأنمي'
6: href='https://witanime.you/anime-season/ربيع-2026/' | text='أنميات الموسم'
7: href='https://witanime.you/%d9%85%d9%88%d8%a7%d8%b9%d9%8a%d8%af-%d8%a7%d9%84%d8%ad%d9%84%d9%82%d8%a7%d8%aa/' | text='مواعيد الحلقات'
8: href='https://witanime.you/contact-us/' | text='إتصل بنا'
9: href='https://witanime.you/wp-login.php' | text='تسجيل الدخول'
10: href='https://witanime.you/wp-login.php?action=lostpassword&redirect_to=https://witanime.you' | text='نسيت كلمة المرور؟'
19: href='https://witanime.you/anime/naruto-movie-2-dai-gekitotsu-maboroshi-no-chiteiiseki-dattebayo/' | text='Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!'
33: href='https://www.witanime.net/' | text='WITANIME'
